Exercise ,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Exercise Classification
Barbell Back Rack Low Switch Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell,1,,,Standing,Double Arm,Continuous,Pronated,Back Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Back Rack Foot Elevated Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell,1,,,Foot Elevated Standing,Double Arm,Continuous,Pronated,Back Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Back Rack Cossack Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell,1,,,Standing,Double Arm,Continuous,Pronated,Back Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Front Rack Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell,1,,,Standing,Double Arm,Continuous,Pronated,Front Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Landmine Goblet Cossack Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Landmine,1,,,Standing,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Landmine Goblet Low Switch Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Landmine,1,,,Standing,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Landmine Goblet Foot Elevated Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Landmine,1,,,Foot Elevated Standing,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Landmine Low Hold Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Landmine,1,,,Standing,Double Arm,Continuous,Neutral,Low Hold,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Landmine Low Hold Low Switch Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Landmine,1,,,Standing,Double Arm,Continuous,Neutral,Low Hold,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Landmine Low Hold Foot Elevated Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Landmine,1,,,Foot Elevated Standing,Double Arm,Continuous,Neutral,Low Hold,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Dumbbell Goblet Cossack Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1,,,Standing,Double Arm,Continuous,Goblet,Front Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Dumbbell Goblet Foot Elevated Cossack Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1,,,Foot Elevated Standing,Double Arm,Continuous,Goblet,Front Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Overhead Low Switch Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2,,,Standing,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Overhead Foot Elevated Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2,,,Standing,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Front Rack Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2,,,Standing,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Front Rack Foot Elevated Cossack Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2,,,Standing,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Front Rack Cossack Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1,,,Standing,Single Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Front Rack Alternating Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1,,,Standing,Single Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Front Rack Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1,,,Standing,Single Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Dummbell Front Rack Foot Elevated Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1,,,Foot Elevated Standing,Single Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Low Hold Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2,,,Standing,Double Arm,Continuous,Neutral,Low Hold,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Low Hold Foot Elevated Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,2,,,Standing,Double Arm,Continuous,Neutral,Low Hold,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Dumbbell Low Hold Cossack Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1,,,Standing,Double Arm,Continuous,Neutral,Low Hold,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Dumbbell Low Hold Alternating Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1,,,Standing,Double Arm,Continuous,Neutral,Low Hold,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Dumbbell Low Hold Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1,,,Standing,Double Arm,Continuous,Neutral,Low Hold,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Dumbbell Low Hold Foot Elevated Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1,,,Standing,Double Arm,Continuous,Neutral,Low Hold,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Front Rack Cossack Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,1,,,Standing,Single Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Front Rack Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,1,,,Standing,Single Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Front Rack Foot Elevated Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,1,,,Foot Elevated Standing,Single Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Clubbell Order Alternating Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1,,,Standing,Double Arm,Continuous,Neutral,Order,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,
Clubbell Order Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1,,,Standing,Double Arm,Continuous,Neutral,Order,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,
Clubbell Order Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1,,,Standing,Double Arm,Continuous,Neutral,Order,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,
Clubbell Order Foot Elevated Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1,,,Foot Elevated Standing,Double Arm,Continuous,Neutral,Order,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,
Double Clubbell Order Alternating Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,2,,,Standing,Double Arm,Continuous,Neutral,Order,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,
Double Clubbell Order Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,2,,,Standing,Double Arm,Continuous,Neutral,Order,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,
Double Clubbell Order Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,2,,,Standing,Double Arm,Continuous,Neutral,Order,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,
Double Clubbell Order Foot Elevated Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,2,,,Foot Elevated Standing,Double Arm,Continuous,Neutral,Order,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,
Clubbell Front Flag Hold Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1,,,Standing,Double Arm,Continuous,Neutral,Front Flag Hold,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,
Clubbell Front Flag Hold Alternating Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1,,,Standing,Double Arm,Continuous,Neutral,Front Flag Hold,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,
Clubbell Front Flag Hold Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1,,,Standing,Double Arm,Continuous,Neutral,Front Flag Hold,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,
Clubbell Front Flag Hold Foot Elevated Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1,,,Foot Elevated Standing,Double Arm,Continuous,Neutral,Front Flag Hold,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,
Double Clubbell Front Flag Hold Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,2,,,Standing,Double Arm,Continuous,Neutral,Front Flag Hold,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,
Double Clubbell Front Flag Hold Alternating Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,2,,,Standing,Double Arm,Continuous,Neutral,Front Flag Hold,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,
Double Clubbell Front Flag Hold Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,2,,,Standing,Double Arm,Continuous,Neutral,Front Flag Hold,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,
Double Clubbell Front Flag Hold Foot Elevated Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,2,,,Foot Elevated Standing,Double Arm,Continuous,Neutral,Front Flag Hold,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,
Single Arm Clubbell Order Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1,,,Standing,Single Arm,Continuous,Neutral,Order,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,
Single Arm Clubbell Order Alternating Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1,,,Standing,Single Arm,Continuous,Neutral,Order,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,
Single Arm Clubbell Order Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1,,,Standing,Single Arm,Continuous,Neutral,Order,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,
Single Arm Clubbell Order Foot Elevated Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1,,,Foot Elevated Standing,Single Arm,Continuous,Neutral,Order,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,
Single Arm Clubbell Front Flag Hold Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1,,,Standing,Single Arm,Continuous,Neutral,Front Flag Hold,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,
Single Arm Clubbell Front Flag Hold Alternating Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1,,,Standing,Single Arm,Continuous,Neutral,Front Flag Hold,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,
Single Arm Clubbell Front Flag Hold Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1,,,Standing,Single Arm,Continuous,Neutral,Front Flag Hold,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,
Single Arm Clubbell Front Flag Hold Foot Elevated Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1,,,Foot Elevated Standing,Single Arm,Continuous,Neutral,Front Flag Hold,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,
Strongman Sandbag Bear Hug Carry,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,Biceps Brachii,Gluteus Maximus,Strongman Sandbag,1,,,Walking,Double Arm,Continuous,Bear Hug,Other,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,
Dumbbell Hip Thrust,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,,,Dumbbell,1,,,Bridge,Double Arm,Continuous,Neutral,Hip Crease,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Compound,Bilateral,
Double Dumbbell Overhead Carry,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Obliques,,Dumbbell,2,,,Walking,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,
Double Kettlebell Front Rack Carry,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,,,Kettlebell,2,,,Walking,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,
Double Kettlebell Overhead Carry,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Obliques,,Kettlebell,2,,,Walking,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,
Double Kettlebell Bottoms Up Overhead Carry,Video Demonstration,,Advanced,Shoulders,Anterior Deltoids,Obliques,,Kettlebell,2,,,Walking,Double Arm,Continuous,Bottoms Up,Overhead,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,
Single Arm Kettlebell Overhead Carry,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Obliques,,Kettlebell,1,,,Walking,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,
Single Arm Kettlebell Bottoms Up Overhead Carry,Video Demonstration,,Advanced,Shoulders,Anterior Deltoids,Obliques,,Kettlebell,1,,,Walking,Single Arm,Continuous,Bottoms Up,Overhead,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,
Strongman Sandbag Shoulder Carry,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Obliques,Gluteus Maximus,Strongman Sandbag,1,,,Walking,Single Arm,Continuous,Neutral,Shoulder,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,
Double Dumbbell Front Rack Carry,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,Gluteus Maximus,,Dumbbell,2,,,Walking,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,
Single Arm Dumbbell Front Rack Carry,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,Gluteus Maximus,,Dumbbell,1,,,Walking,Single Arm,Continuous,Neutral,Front Rack,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,
Double Clubbell Order Carry,,,Novice,Forearms,Brachioradialis,Rectus Abdominis,Gluteus Maximus,Clubbell,2,,,Walking,Double Arm,Continuous,Neutral,Order,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,
Single Arm Clubbell Order Carry,,,Novice,Forearms,Brachioradialis,Rectus Abdominis,Gluteus Maximus,Clubbell,1,,,Walking,Single Arm,Continuous,Neutral,Order,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,
Double Clubbell Front Flag Hold Carry,,,Intermediate,Forearms,Brachioradialis,Rectus Abdominis,Gluteus Maximus,Clubbell,2,,,Walking,Double Arm,Continuous,Neutral,Front Flag Hold,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,
Single Arm Clubbell Front Flag Hold Carry,,,Intermediate,Forearms,Brachioradialis,Rectus Abdominis,Gluteus Maximus,Clubbell,1,,,Walking,Single Arm,Continuous,Neutral,Front Flag Hold,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,
Barbell Overhead Carry,Video Demonstration,,Advanced,Shoulders,Anterior Deltoids,Rectus Abdominis,Gluteus Maximus,Barbell,1,,,Walking,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,
Single Arm Barbell Overhead Carry,,,Expert,Shoulders,Anterior Deltoids,Rectus Abdominis,Gluteus Maximus,Barbell,1,,,Walking,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,
Barbell Front Rack Carry,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,,Barbell,1,,,Walking,Double Arm,Continuous,Pronated,Front Rack,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,
Single Arm Kettlebell Half Kneeling Bent Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,1,,,Half Kneeling,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,Rotational,,Transverse Plane,,,,Push,Compound,Unilateral,Grinds
Single Arm Kettlebell Tall Kneeling Overhead Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,1,,,Tall Kneeling,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Tall Kneeling Overhead Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,1,,,Tall Kneeling,Single Arm,Continuous,Bottoms Up,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Bottoms Up Tall Kneeling Overhead Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,,,Tall Kneeling,Double Arm,Continuous,Bottoms Up,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Alternating Double Kettlebell Bottoms Up Tall Kneeling Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,,,Tall Kneeling,Double Arm,Alternating,Bottoms Up,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Alternating Double Kettlebell Tall Kneeling Overhead Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,,,Tall Kneeling,Double Arm,Alternating,Pronated,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Alternating Double Kettlebell Half Kneeling Overhead Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,,,Half Kneeling,Double Arm,Alternating,Pronated,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Bottoms Up Half Kneeling Overhead Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,,,Half Kneeling,Double Arm,Continuous,Bottoms Up,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Alternating Double Kettlebell Bottoms Up Half Kneeling Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,,,Half Kneeling,Double Arm,Alternating,Bottoms Up,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Tall Kneeling Seesaw Overhead Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,,,Tall Kneeling,Double Arm,Alternating,Pronated,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Bottoms Up Tall Kneeling Seesaw Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,,,Tall Kneeling,Double Arm,Alternating,Bottoms Up,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Strongman Sandbag Bear Hug Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Strongman Sandbag,1,,,Standing,Double Arm,Continuous,Bear Hug,Other,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,
Strongman Sandbag Shoulder Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Strongman Sandbag,1,,,Standing,Single Arm,Continuous,Neutral,Shoulder,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,
Strongman Sandbag Turkish Get Up,,Video Explanation,Advanced,Abdominals,Obliques,Rectus Abdominis,,Strongman Sandbag,1,,,Supine,Single Arm,Continuous,Neutral,Other,Single Exercise,Rotational,,,Transverse Plane,Sagittal Plane,,Full Body,Other,Compound,Unilateral,Grinds
Strongman Sandbag Bear Hug Alternating Forward Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Brachii,Strongman Sandbag,1,,,Standing,Double Arm,Continuous,Bear Hug,Other,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,
Strongman Sandbag Bear Hug Alternating Reverse Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Brachii,Strongman Sandbag,1,,,Standing,Double Arm,Continuous,Bear Hug,Other,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,
Strongman Sandbag Shoulder Alternating Forward Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Strongman Sandbag,1,,,Standing,Single Arm,Continuous,Neutral,Shoulder,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,
